Associated Gene Name	Gene Start (bp)	Gene End (bp)	MIM Morbid Description	MIM Morbid Accession	Ensembl Gene ID
ACOT13	24667263	24705293			ENSG00000112304
KDM1B	18155560	18224084			ENSG00000165097
DEFB133	49913814	49917157			ENSG00000214643
DEFB114	49927962	49931818			ENSG00000177684
RP1-72E17.2	3694157	3694309			ENSG00000270477
RP11-420L9.5	3751345	3754105			ENSG00000270504
RP11-420L9.2	3754333	3755074			ENSG00000219992
RP11-420L9.4	3832167	3855971			ENSG00000238158
SNRPC	34725183	34741571			ENSG00000124562
RP1-140K8.1	3893360	3894524			ENSG00000233068
RP1-140K8.5	3905144	3912213			ENSG00000260604
OR4F7P	170948694	170949624			ENSG00000217874
RP1-140K8.2	3914156	3914526			ENSG00000218472
XX-C2158C12.1	171004401	171006038			ENSG00000234986
RP1-140K8.3	3922081	3922380			ENSG00000217135
TDGF1P4	3941516	3942035			ENSG00000217566
RP1-249I4.2	110147725	110149988			ENSG00000232311
XX-C2158C12.2	171034285	171037576			ENSG00000213863
XX-C2158C6.1	171044839	171045633			ENSG00000230423
RN7SL617P	110761202	110761506			ENSG00000241162
RP3-406P24.1	3978296	3979333			ENSG00000216657
CTA-331P3.1	110799110	110800639			ENSG00000260188
ALDH8A1	135238528	135271260			ENSG00000118514
XX-C2158C6.3	171045261	171046865			ENSG00000225532
DNPH1	43193367	43197222			ENSG00000112667
RP11-346C16.4	110883378	110883818			ENSG00000219559
XX-C2158C6.2	171054606	171055065			ENSG00000219814
RP3-406P24.4	4018947	4019436			ENSG00000272248
RP11-346C16.6	110919296	110919908			ENSG00000270934
RP3-406P24.3	4019077	4021449			ENSG00000230648
CSNK2B-LY6G5B-1181	31633879	31641323			ENSG00000263020
snoU13	4076623	4076707			ENSG00000252668
RP11-346C16.2	110966902	110967761			ENSG00000213150
RP11-346C16.1	111021765	111022103			ENSG00000217041
RP3-400B16.4	4135657	4146287			ENSG00000254821
RP11-569A2.2	111027565	111028085			ENSG00000219150
RP3-400B16.1	4136306	4157619			ENSG00000234817
RNU6-957P	111043453	111043551			ENSG00000200522
RP3-400B16.3	4186858	4188343			ENSG00000237716
SNORA40	111169749	111169876			ENSG00000212587
RP3-400B16.2	4189350	4190040			ENSG00000216307
RNU6-1115P	111177620	111177725			ENSG00000199360
RP3-527G5.1	4345977	4347271			ENSG00000231811
CNN2P9	111179442	111180350			ENSG00000213149
LY6G5B	31637944	31641553			ENSG00000240053
RNA5SP202	4428197	4428315			ENSG00000201185
RP11-274H24.1	4492041	4496003			ENSG00000260239
RP11-570K4.1	40681150	40683102			ENSG00000237947
RP3-418A9.3	111185063	111185654			ENSG00000271607
PNPLA1	36210980	36276372	 ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 10; ARCI10	615024	ENSG00000180316
RP1-21P18.1	4529956	4530242			ENSG00000270695
RP4-529N6.2	4599521	4602654			ENSG00000260673
RP11-397G5.2	111244769	111245310			ENSG00000219329
snoU13	111284669	111284772			ENSG00000238775
GRM1	146348782	146758734	 SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 13; SCAR13	614831	ENSG00000152822
RP4-529N6.1	4610890	4611538			ENSG00000205444
AL357515.1	111290976	111291075			ENSG00000266032
ADCY10P1	41068761	41108571			ENSG00000161912
RNU6-906P	111329473	111329579			ENSG00000207431
GSTM2P1	111368071	111368724			ENSG00000218803
snoU13	4643996	4644088			ENSG00000238801
PSMC1P11	4702697	4704013			ENSG00000217385
RP3-430A16.1	4774760	4775642			ENSG00000236336
RNU6-960P	111412416	111412535			ENSG00000200926
RP11-428F8.2	111548950	111580237			ENSG00000231046
RP11-428J1.2	4979306	4979728			ENSG00000217030
RP5-1112D6.4	111599135	111599945			ENSG00000230177
IL22RA2	137464968	137494785			ENSG00000164485
RP11-428J1.5	5030206	5043683			ENSG00000272142
RP5-1112D6.7	111618329	111619713			ENSG00000271789
RP5-1112D6.8	111630406	111634720			ENSG00000272356
FCF1P5	111674905	111675386			ENSG00000220392
REV3L-IT1	111681844	111682810			ENSG00000229276
RP11-428J1.4	5031990	5054657			ENSG00000271978
BRD7P4	111751463	111752984			ENSG00000218676
RMRPP2	5045818	5046335			ENSG00000252419
RP11-530A18.1	5066029	5067216			ENSG00000220685
MIR3691	5148467	5148556			ENSG00000265083
TRAF3IP2-AS1	111804714	111919505			ENSG00000231889
AL162381.1	5224961	5225030			ENSG00000264541
RP3-520B18.1	5291263	5291621			ENSG00000220446
RP1-232P20.1	5451916	5458308			ENSG00000269985
TREML3P	41176292	41190382			ENSG00000184106
PCMT1	150070579	150132556			ENSG00000120265
PNISR	99845927	99873207			ENSG00000132424
HNRNPA1P37	5609460	5610428			ENSG00000218574
RNA5SP207	41207258	41207364			ENSG00000212176
TREML5P	41215107	41217387			ENSG00000225690
RP1-229K20.5	41237613	41237977			ENSG00000218809
RNU6-643P	41270204	41270310			ENSG00000206745
RP13-235E23.1	41275904	41276303			ENSG00000213461
RP1-256G22.2	5665218	5695505			ENSG00000270174
AL136967.1	41323187	41323246			ENSG00000238867
RP3-415N12.1	111816194	111816916			ENSG00000220506
RP1-182O16.1	5788579	5788932			ENSG00000217239
RP11-328M4.2	41462591	41516359			ENSG00000234753
C6orf3	111921078	111923498			ENSG00000255389
RP1-182O16.2	5817654	5818599			ENSG00000216360
snoU13	111967530	111967630			ENSG00000239015
RP1-97J1.2	112221692	112223054			ENSG00000227012
RP3-380B8.4	5851739	5870453			ENSG00000233064
RP1-142L7.5	112475967	112487670			ENSG00000237234
RN7SL221P	5918793	5919077			ENSG00000239472
BTN2A2	26383324	26395102			ENSG00000124508
RNU6-1226P	112517642	112517748			ENSG00000207044
PKMP5	5972645	5974245			ENSG00000215057
RP1-142L7.9	112538841	112540771			ENSG00000270661
RP11-328M4.3	41470182	41487590			ENSG00000226917
RP1-142L7.8	112555366	112555959			ENSG00000271208
MIR4641	41566461	41566526			ENSG00000266494
NPM1P51	41634644	41635387			ENSG00000230913
RP11-506B6.6	112557294	112671296			ENSG00000226440
C6orf62	24705089	24721064			ENSG00000112308
AL157775.1	6046676	6046777			ENSG00000264121
MIR5683	6169567	6169642			ENSG00000263572
LY86-AS1	6346698	6623004			ENSG00000216863
RP11-506B6.5	112646955	112647951			ENSG00000216663
RP11-298J23.5	41688134	41701770			ENSG00000231102
RP11-298J23.8	41732030	41732198			ENSG00000269387
RP11-506B6.3	112677043	112677916			ENSG00000219773
RP11-298J23.9	41759148	41759215			ENSG00000268745
SNORA8	41800592	41800731			ENSG00000206977
RP5-973N23.4	41836360	41837469			ENSG00000227516
KRT18P65	112682639	112684039			ENSG00000215807
Y_RNA	41885154	41885264			ENSG00000207371
RNU6-761P	41986146	41986252			ENSG00000206875
AL365214.1	112683050	112683141			ENSG00000266485
RP11-533O20.2	41997791	41999120			ENSG00000223946
FEM1AP3	112686906	112688646			ENSG00000217770
RP11-7K24.3	42059976	42061997			ENSG00000261068
U3	42379938	42380134			ENSG00000221252
RP11-256G5.1	42467448	42467760			ENSG00000237107
snoU13	42473238	42473344			ENSG00000238611
RP1-105O18.1	112797740	112802838			ENSG00000232299
RNU6-890P	42631900	42632006			ENSG00000206848
snoU13	112797928	112798029			ENSG00000239095
ATP6V0CP3	42694972	42695438			ENSG00000213435
AL357514.1	112853384	112853487			ENSG00000252215
RP1-159M24.1	112937905	112939082			ENSG00000225580
SNAPC5P1	6347314	6347614			ENSG00000241216
RP11-505K1.1	113147141	113147672			ENSG00000271498
CNN3P1	6534930	6535864			ENSG00000218868
RP3-475N16.1	42908102	42916098			ENSG00000231113
RNU6-1163P	113292695	113292801			ENSG00000201386
FCF1P10	113332139	113332617			ENSG00000218490
RP1-80N2.3	6680542	6683866			ENSG00000261211
RP1-80N2.2	6692977	6711235			ENSG00000226281
RPL24P4	42924083	42924503			ENSG00000181524
